username,lemmatized_text,extract_hashtags
Ke_Dictionary,  Whatever hold mind consistent basis exactly experience life,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays
OnguruMeister,  Uko Kisumu na unafungua duka middle Ichieni Mjinga ni wewe,MaandamanoThursdays
OnguruMeister,  Uko Kisumu na unafungua duka middle Ichieni Mjinga ni wewe,MaandamanoThursdays
waryawarya19,  UDA fan solution demo madness Ruto must Humble reduce cost living make sure shut gachagua ichungwa ( mdomo bagi ) burn country,MaandamanoThursdays Azimio UDA udaken MaandamanoMondays
waryawarya19,  Kimani ichungwa tafadhali wacha bangi ati kushika raila nothing happen hehe boss hadi mtoi hajazaliwa anajua hii nchi itasink happen,maandamano MaandamanoThursdays MaandamanoMondays
MachaaDeno, ,MaandamanoThursdays
VeronicaHope_,  Corporal mental case gun mental institution handling government armoury hate face tell,MaandamanoThursdays
EdwinFaby_1,  Niggas street know bleed🤦‍,MaandamanoThursday Maandamano MaandamanoMondays MaandamanoMonday
SirKebaya, ,RailaOdinga Maandamano
Ke_Dictionary,  supreme art war subdue enemy without fight,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays
UndercoverKe,  Uhuru Kenyattas family earn Sh900 million dividend Sh76 billion worth share NCBA bank alone looter happily steal sheep Northlands Citywhere plot cost Sh10 million,MaandamanoMondays Vera Quickmart57 gatundu runda
JoeNatani,  RICH rob POOR call BUSINESS poor FIGHT BACK call VIOLENCE Welcome NATO,Ruto Azimio Africa Citizentv MaandamanoThursdays Maandamano RutoMustGo MaandamanoMondays President Kenya RailaOdinga ZelenskyWarCriminal
KowaFredrick,  beat ( ) since Azimio announce themImeshika headline nextday day demosU really mean say two principal hawaezi ongeaAm sure discussion come fitWhere Kalonzo amp Marthas seat,MaandamanoThursdays Maandamano
elegantmusicafr,  musician get lose way recording studio🤔 follow beat different drum 🤠🥁 help find rhythm,musicstudio recordingstudio funnymusicjokes MaandamanoThursdays MaandamanoMondays
EduMurira,  reason become politician avoid long damn queue man would breath neck hour youd wait obvious always felt gayish near future election policy change 🥱,KDD233P PwaniUniversity RailaOdinga
Ke_Dictionary,  Optimism faith lead achievement Nothing do without hope confidence,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays
AfUncensored,  Premiering YouTube Channel Teargas Stones Running Battles Protesters Speak Businesses Count Losses,MaandamanoThursdays MaandamanoThursdays
The6Sixth_,  guy see giant catapult Kisumu guy make lol tbh ushajua kuna na Mondays mbona ufungue biashara yako People turn animal thats theyve prove Mbona utake chance,MaandamanoThursdays
KiguruKimani,  Media must play double role enabler escort convoy Otherwise explain fact vehicle lead car convoy security barrier,Maandamano Azimio
iantesh6,  Unprofessional,MaandamanoThursdays
Nellywamum,  expect different outcome,Demonstrations MaandamanoThursdays MaandamanoMondays
JosephY75676604,  way nothing happen also curious know exactly happen ebu arrest Raila tuone,MaandamanoThursdays
Ke_Dictionary,  Attitude everything New day new strength new thought,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays
cheruiyot_cw,  watch series youll love similarity,TheBlacklist RaymondReddington RailaOdinga
MsFameWakanyi,  kinda want kill loot send message home,MaandamanoThursdays Vera GoldMafia
Gavanor01,  Raila foolishness stupidity see Kisumu PHD protester vandalise mortuary steal equipment low food price open savers🤔🤔 cursed community,MaandamanoThursdays
eSGeeCee,  shame police force continue violate impunity basic human right protest use disproportionate force disperse peaceful protestors inflict injury death amp destruction property violation bring book,MaandamanoThursdays
Nellywamum,  Definitely disagree idea export protester Nairobi county walk back strategic decision undesirable Let continue build Kisumu Pipeline KDD 233P,Maandamano MaandamanoMondays MaandamanoThursdays Raila
KiguruKimani,  hear JESHI YA BABA vehicle lead convoy try overrun security road block today,Azimio Maandamano
Abundance_Raph,  Ala,MaandamanoThursdays
HanzWere,  kalale Si tuko poa Wakenya weve get,maandamanomondays
SirDavi57521862,  Huyu ataenda wapi Watu wa Azimio wako na shinda gani na Mimi,MaandamanoThursdays
SirDavi57521862,  Mpaka viatu zimeenda,MaandamanoThursdays
SirDavi57521862, ,MaandamanoThursdays
SirDavi57521862, ,MaandamanoThursdays
Nitch_001,  Late night gainsturn notification,ThikaRoad MaandamanoThursdays
Osunga,  KENYA | survive potential assassination attack fortunately make Azimio ’ Media Equipment Vehicle…,MaandamanoMondays Kenya AP
SirDavi57521862,  Robery wont see main stream medium Maandamano must end,MaandamanoThursdays
developa_ke,  Basic rule life,MaandamanoThursdays GoldMafia UkraineWar Raila
Ke_Dictionary,  repetition affirmation lead belief belief become deep conviction thing begin happen,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays
Gavanor01,  Kisumu Alleged journalist injure vehicle Ok Swali ni medium house edit plate number KDD 233P KBB 233B mean police SUSPECTED VEHICLE police Right,MaandamanoThursdays Raila
collins_games,  Despite international break still win Dm Friday/weekend fixtures ( WhatsApp link ) Karen,MaandamanoThursdays Nairobi
OkeyoClyde,  Mr point try prove Watch video ideology politics allow us accept truth seem even video whats number plate duplicate,demonstration MaandamanoThursdays
Oscarmukabwa,  Dont balame anyone accident stand time sorrow bereavement R IP Vera Ruto Raila Edwin sifuna Thugs Imara Daima,PwaniUniversity accident naivasha Nairobi Quickmart57 MaandamanoThursdays
MorioWaKanairo,  day age still think Luos uncircumcised bet place money look uncircumcised among luo would return money guy take cut like crazy,Circumcision Luos KDD233P RailaOdinga Pipeline Maandamano Siaya
MartinKarau,  crowd witness cheer President Rtd Raila Amolo Odinga love adore also dislike crook rob victory,MaandamanoThursdays
Ke_Dictionary,  live right enough,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays
Cosmic_Boom,  si mlisema mnataka bomb mbona mnalia na ni risasi tu Foreskinopithecus ile uchawi raila aliwawekea sijui ni gani mtakufa wengi sana juu ya huyo mganga mganga anawatoa kafara huko Enugu,MaandamanoThursdays MaandamanoMondays
Devolve_Mirror,  War dont determine winner right leave War father bury son peace son bury father Kisumu Kibra bury son kill police,MSITUUWE MaandamanoThursdays
MumoOnesmas,  police use pinkdyed water spay Azimio protester,PoliceBrutality Police Demonstrations Maandamano MaandamanoThursdays KDD233P Raila RutoMustGo
HuyuNiSMS,  Bigwigs Mkitafuta idea za Twitter Spaceshizi hapa zitatusaidia kucope na effect za maandamano since wamesema haziishi anytime soon,MaandamanoThursdays MaandamanoMondays Maandamano
MumoOnesmas,  Ruto hold conversation President Biden amid Azimio protest,RutoMustGo Ruto USA UnitedStates BidenAdministration Raila Maandamano MaandamanoThursdays Demonstrations
Gavanor01,  Kisumu Raila car plate number mask KDD 233P KBB 233B,MaandamanoThursdays
Tasha_ke746,  Play win captainsbet NBA heat🥳 analysis win big🥳 Register Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila
MumoOnesmas,  Raila alleges another assassination attempt,Raila MaandamanoThursdays Maandamano Demonstrations Nairobi Kisumu KDD233P UhuruKenyatta RutoMustGo
Tasha_ke746,  100 % first deposit bonus Zero tax Free withdrawal Register claim Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila
Gavanor01,  Kisumu Raila say car Babu Owino say NMG journalist injure police “ allege ” medium house vehicle NMG tell car reg number mask KBB 233B KDD 233P,MaandamanoThursdays
ogetta_daniel,  Avoid Outering Road Especially stretch Donholm Fedha gang youth block highway ask valuable motorist let pass,MaandamanoThursdays
thecivican,  Maandamano Thursday : Raila,RailaOdinga
thecivican,  Raila Odinga promise mother demonstration Monday April 3,RailaOdinga
alikula0,  know chaos cause fan stop Hes Selfish,OuteringRoad RailaOdinga
Jeshi_LaBABA,  WAKIRUSHAAAAATUNARUSHAAAA,MaandamanoThursdays
novasbuzz,  Pwani University Comrades strike demand answer University Administration allow faulty bus leave school,PwaniUniversity Raila Quickmart57 RailaOdinga
Ke_Dictionary,  life put tough situation dont say say try,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays
HarryGodfirst, ,kenya MaandamanoThursdays
TheeHub_KE,  RIP [ Rigathi Gachagua Boutross Citizen TV KDD 233P ],PwaniUniversity MaandamanoThursdays RailaOdinga
High96121553,  picture see close range bullet wouldnt miss share picture show seven bullet impact car🤔 wakenya wajinga waliisha buanaa,mandamano Azimio
valerieagure,  Jokisumo awaken dead take demo morgue Arrest wuon Lupita arrest criminal professor father award win actress makgi,awuoro MaandamanoThursdays
HarryGodfirst, ,Kenya MaandamanoThursdays
johnmark254,  Video week,MaandamanoThursdays
johnmark254, ,Oyugis MaandamanoThursdays
johnmark254,  Police source,MaandamanoThursdays
doctorsaid001,  Friend mine army confirm refuse recruit undercover maandamano Soldiers use Stay Alert,MaandamanoThursdays
johnmark254,  Matchday 3 Juakali 31 police Oyugis 60 police Kondele 11 police extra time kondele Half time,MaandamanoThursdays
KibisuMulanda,  go footage amp honestly doubt whether government amp opposition know monster feed step forward amp one able tame President amp,MaandamanoThursdays
bnamwene,  play much Tears,MaandamanoThursdays Raila
Bobby88Bob,  Kenya Kisumu,MaandamanoThursdays Raila
Briyan1998,  RIP COMRADE,PwaniUniversityRailaOdinga
AceprinceP,  Cypher,Maandamano Nairobi RailaOdinga MaandamanoMondays imaradaima edwinsifuna luos
njagi_dave,  9 really ashamed fellow medium colleaguesKwa walio umia ugueni poleIla iwe funzo every story worth limelight worth tell,MaandamanoThursdays
njagi_dave,  8Tupo mbioni kuangazia Nani kasema na nini alicho kisema bila kutathmini nini hasa kasema,MaandamanoThursdays
nohvinvinny, ,MaandamanoThursdays Raila
njagi_dave,  7 Every medium house want best salesTumesahau kazi wacha tuuze Sura kabisa,MaandamanoThursdays
njagi_dave,  6 peace busy run BabaGachagua rest ili kuuza Sura Tuta uza lini Sera,MaandamanoThursdays
njagi_dave,  5Mortuary imefunguliwa Jana shamble business make loss church mosque burntPwani Uni Ooooh Lord May soul,MaandamanoThursdays
SwalaNyetiKe,  law enforcement agency wish reiterate commitment discharge Constitutional mandate serve protect without fear favor adhere rule law utmost respect human right ~,MaandamanoThursdays
njagi_dave,  4 Every station daily morningevening night busy create tension heal Whos highlight aftermath Kisumu,MaandamanoThursdays
waza_news,  Farmers Murindukos Karuangi village Mwea Kirinyaga County count loss monkey invade farm,MONKEYS farm MaandamanoThursdays
njagi_dave,  3Whos focus aftermath demo give Kuzimia Kenya KwishaTeam platform parade anachry,MaandamanoThursdays
njagi_dave,  2 Let Martha RaruaTikiti Maji na Mzee wa Kuzimia forefront amoured vehicle,MaandamanoThursdays
teabag_ke,  Kenya Kuboeka ni wewe,MaandamanoThursdays
retired_comrade,  Imagine image Kenya today 🤔 icon democracy region amp envy neighbour country quickly loose country Kenya alarm rate go back thing fight anarchy dictatorship tyranny,MaandamanoThursdays Raila
SwalaNyetiKe,  Theres justification excessive force use peaceful unarmed citizen exercise democratic right today unprovoked attack leave car hit 7 live bullet aim Despite wont deter ~ Raila Odinga,MaandamanoThursdays
Princeof_Kenya,  Raila shoot would show hole 4K resolution Citizen TV would make 6hour documentary US amp German expert fly Ojinga show us Holes Car Attached Bullet Holes appear Car Incase forget,MaandamanoThursdays
MayiekaKelvin,  Lethal truth EALA MP,MaandamanoThursdays
OgolaSirikal,  moment think scene Jean Claude vandame movie Kumbe Government operation stop opposition protest stop RIGHT,MAANDAMANOTHURSDAYS
habibomar201,  nation find hard look leader keep ear ground ~Sir Winston Churchill Ifikie,MaandamanoThursdays
GathuaGachora,  Bibilia uliweka chini na katiba pia need constitution back,stoppolicebrutality MaandamanoMondays MaandamanoThursdays
Reptile_ke,  PEOPLE UNITED SHALL NEVER DEFEATED AMOUNT FORCE GOONVERMENT WHETHER USE TEARGAS WATER CANNONS BATONS BULLETS STOP KENYANS DEMANDING RESTORATION SUBSIDIES FUELELECTRICITYFOOD ETC EASE BURDEN WANANCHI,MaandamanoThursdays
Hezzy81651768,  Hii sasa haibambi Yenye inabamba ni hii,MaandamanoMondays MaandamanoThursdays
JereShariff,  Revolutions start poor ordinary people rich billionaire live porch estate,MaandamanoThursdays
KathumoMumo,  Smh one talk two dead police men stone death pipeline stop,raila MaandamanoThursdays MaandamanoMondays
RealChalz19,  ’ gerrit then………………,MaandamanoThursday MaandamanoMondays RailaOdinga pipeline OuteringRoad…
Ke_Dictionary,  try,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays
Reptile_ke,  Fellow Kenyans amp Helped Get Illegitimate Govt Power Corrupt Kickbacks Later onNow Theyre Sanitizing Police Brutality advise Government arrest BABA Time Comes SHALL PACK GO,MaandamanoThursdays
edwinotis123,  STOP ATTACKS : March 2023 remain dark month Kenyan medium since clamour multiparty democracy MCK far documented case attack local foreign journalist hand State nonState actor,MaandamanoThursdays
muzembialf,  UDA regime know well allow demonstration Nairobi attract Mamoth peaceful protest year Raila never give thing get messy,Nairobi RailaOdinga
Peterz_Model,  learn hard way Pwani University Photoshop Kisumu,theoutside Raila MaandamanoThursdays
AbalaKinyuaa,  KDD 233P KBB 233B happen occupant car UNNECESSARY BRUTALITY anyone call law enforcement unarmed individual,Maandamano MaandamanoThursday RailaOdinga
owen_toyota,  clear cause harm good party Whoever want take liability idk frankly idc thats position mean saw Pipeline Whats Either side claim anarchy Tumefumble 1/3,MaandamanoThursdays MaandamanoMondays
Osunga,  KENYA | CAMERA | Assassination attempt Raila Odinga attack accredited media…,MaandamanoMondays Kenya AP
VincentHarward,  Returning teargas owner Kenya,MaandamanoThursdays
kipkoech5867,  Dj though Bravo,JDD233P Citizentvnews Nairobi RailaOdinga BOYSPLANET
peterju59314052,  comment Kenyans completely destroy mchawi Raila journalist cheap propaganda Police endelea kutwanga hawa githeri Raila journalist kabisa,MaandamanoThursdays
Ke_Dictionary,  path must decide,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays
judithkanaitha,  6 journalist badly injure Embakasi,MaandamanoThursdays
