username,lemmatized_text,extract_hashtags,labels
Ke_Dictionary,  Whatever hold mind consistent basis exactly experience life,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,[0.07599603 0.72843176 0.19557217]
OnguruMeister,  Uko Kisumu na unafungua duka middle Ichieni Mjinga ni wewe,MaandamanoThursdays,[0.5045957  0.36809996 0.12730436]
OnguruMeister,  Uko Kisumu na unafungua duka middle Ichieni Mjinga ni wewe,MaandamanoThursdays,[0.5045957  0.36809996 0.12730436]
waryawarya19,  UDA fan solution demo madness Ruto must Humble reduce cost living make sure shut gachagua ichungwa ( mdomo bagi ) burn country,MaandamanoThursdays Azimio UDA udaken MaandamanoMondays,[0.45802507 0.31449795 0.22747697]
waryawarya19,  Kimani ichungwa tafadhali wacha bangi ati kushika raila nothing happen hehe boss hadi mtoi hajazaliwa anajua hii nchi itasink happen,maandamano MaandamanoThursdays MaandamanoMondays,[0.40075237 0.3376613  0.2615863 ]
MachaaDeno, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
VeronicaHope_,  Corporal mental case gun mental institution handling government armoury hate face tell,MaandamanoThursdays,[0.80971384 0.16836831 0.02191783]
EdwinFaby_1,  Niggas street know bleed🤦‍,MaandamanoThursday Maandamano MaandamanoMondays MaandamanoMonday,[0.8494998  0.13072021 0.01977997]
SirKebaya, ,RailaOdinga Maandamano,[0.3257778  0.38096133 0.2932608 ]
Ke_Dictionary,  supreme art war subdue enemy without fight,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,[0.652148   0.26066515 0.08718681]
UndercoverKe,  Uhuru Kenyattas family earn Sh900 million dividend Sh76 billion worth share NCBA bank alone looter happily steal sheep Northlands Citywhere plot cost Sh10 million,MaandamanoMondays Vera Quickmart57 gatundu runda,[0.27755567 0.47019106 0.25225332]
JoeNatani,  RICH rob POOR call BUSINESS poor FIGHT BACK call VIOLENCE Welcome NATO,Ruto Azimio Africa Citizentv MaandamanoThursdays Maandamano RutoMustGo MaandamanoMondays President Kenya RailaOdinga ZelenskyWarCriminal,[0.92800957 0.05981823 0.01217223]
KowaFredrick,  beat ( ) since Azimio announce themImeshika headline nextday day demosU really mean say two principal hawaezi ongeaAm sure discussion come fitWhere Kalonzo amp Marthas seat,MaandamanoThursdays Maandamano,[0.31238243 0.4689398  0.21867785]
elegantmusicafr,  musician get lose way recording studio🤔 follow beat different drum 🤠🥁 help find rhythm,musicstudio recordingstudio funnymusicjokes MaandamanoThursdays MaandamanoMondays,[0.3400851  0.51571774 0.1441972 ]
EduMurira,  reason become politician avoid long damn queue man would breath neck hour youd wait obvious always felt gayish near future election policy change 🥱,KDD233P PwaniUniversity RailaOdinga,[0.73136    0.20192097 0.06671901]
Ke_Dictionary,  Optimism faith lead achievement Nothing do without hope confidence,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,[0.04532794 0.3227437  0.6319284 ]
AfUncensored,  Premiering YouTube Channel Teargas Stones Running Battles Protesters Speak Businesses Count Losses,MaandamanoThursdays MaandamanoThursdays,[0.40779606 0.5510401  0.0411638 ]
The6Sixth_,  guy see giant catapult Kisumu guy make lol tbh ushajua kuna na Mondays mbona ufungue biashara yako People turn animal thats theyve prove Mbona utake chance,MaandamanoThursdays,[0.37480164 0.37840256 0.24679583]
KiguruKimani,  Media must play double role enabler escort convoy Otherwise explain fact vehicle lead car convoy security barrier,Maandamano Azimio,[0.27355137 0.58222973 0.14421886]
iantesh6,  Unprofessional,MaandamanoThursdays,[0.8873407  0.07489894 0.03776036]
Nellywamum,  expect different outcome,Demonstrations MaandamanoThursdays MaandamanoMondays,[0.24756908 0.6118867  0.1405442 ]
JosephY75676604,  way nothing happen also curious know exactly happen ebu arrest Raila tuone,MaandamanoThursdays,[0.53315693 0.3753209  0.0915222 ]
Ke_Dictionary,  Attitude everything New day new strength new thought,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,[0.04514306 0.35846436 0.5963926 ]
cheruiyot_cw,  watch series youll love similarity,TheBlacklist RaymondReddington RailaOdinga,[0.07960477 0.22066411 0.6997311 ]
MsFameWakanyi,  kinda want kill loot send message home,MaandamanoThursdays Vera GoldMafia,[0.39758515 0.4694912  0.1329237 ]
Gavanor01,  Raila foolishness stupidity see Kisumu PHD protester vandalise mortuary steal equipment low food price open savers🤔🤔 cursed community,MaandamanoThursdays,[0.9349305  0.04700834 0.01806105]
eSGeeCee,  shame police force continue violate impunity basic human right protest use disproportionate force disperse peaceful protestors inflict injury death amp destruction property violation bring book,MaandamanoThursdays,[0.9499225  0.03983929 0.0102382 ]
Nellywamum,  Definitely disagree idea export protester Nairobi county walk back strategic decision undesirable Let continue build Kisumu Pipeline KDD 233P,Maandamano MaandamanoMondays MaandamanoThursdays Raila,[0.8482499  0.10622675 0.04552329]
KiguruKimani,  hear JESHI YA BABA vehicle lead convoy try overrun security road block today,Azimio Maandamano,[0.55216616 0.3017556  0.14607821]
Abundance_Raph,  Ala,MaandamanoThursdays,[0.3276892  0.35603914 0.31627166]
HanzWere,  kalale Si tuko poa Wakenya weve get,maandamanomondays,[0.3378569  0.35713375 0.3050094 ]
SirDavi57521862,  Huyu ataenda wapi Watu wa Azimio wako na shinda gani na Mimi,MaandamanoThursdays,[0.5805141  0.29853937 0.12094659]
SirDavi57521862,  Mpaka viatu zimeenda,MaandamanoThursdays,[0.53850234 0.2815582  0.17993952]
SirDavi57521862, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
SirDavi57521862, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
Nitch_001,  Late night gainsturn notification,ThikaRoad MaandamanoThursdays,[0.0677415  0.39861333 0.53364515]
Osunga,  KENYA | survive potential assassination attack fortunately make Azimio ’ Media Equipment Vehicle…,MaandamanoMondays Kenya AP,[0.4215794  0.43087792 0.14754272]
SirDavi57521862,  Robery wont see main stream medium Maandamano must end,MaandamanoThursdays,[0.86786467 0.11315282 0.0189825 ]
developa_ke,  Basic rule life,MaandamanoThursdays GoldMafia UkraineWar Raila,[0.31734365 0.49277678 0.18987957]
Ke_Dictionary,  repetition affirmation lead belief belief become deep conviction thing begin happen,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,[0.07958202 0.61665535 0.3037626 ]
Gavanor01,  Kisumu Alleged journalist injure vehicle Ok Swali ni medium house edit plate number KDD 233P KBB 233B mean police SUSPECTED VEHICLE police Right,MaandamanoThursdays Raila,[0.8383886  0.14449051 0.01712087]
collins_games,  Despite international break still win Dm Friday/weekend fixtures ( WhatsApp link ) Karen,MaandamanoThursdays Nairobi,[0.05790621 0.6909229  0.2511708 ]
OkeyoClyde,  Mr point try prove Watch video ideology politics allow us accept truth seem even video whats number plate duplicate,demonstration MaandamanoThursdays,[0.3898562  0.38580862 0.22433516]
Oscarmukabwa,  Dont balame anyone accident stand time sorrow bereavement R IP Vera Ruto Raila Edwin sifuna Thugs Imara Daima,PwaniUniversity accident naivasha Nairobi Quickmart57 MaandamanoThursdays,[0.47055808 0.3964199  0.13302201]
MorioWaKanairo,  day age still think Luos uncircumcised bet place money look uncircumcised among luo would return money guy take cut like crazy,Circumcision Luos KDD233P RailaOdinga Pipeline Maandamano Siaya,[0.61842203 0.26447776 0.1171002 ]
MartinKarau,  crowd witness cheer President Rtd Raila Amolo Odinga love adore also dislike crook rob victory,MaandamanoThursdays,[0.3365548  0.28140518 0.38204002]
Ke_Dictionary,  live right enough,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,[0.18506062 0.4199262  0.39501315]
